,name,sub_category,main_category,deadline,launched,status,pledged_usd,goal_usd,duration,year,quarter,profit
1330,Part & Parcel - DancEthos performs at Dance Place,dance,dance,21/06/2012,25/04/2012,successful,4550,4000,57,2012,Q4,0.1375
3201,Partner with Dance Revelation,performances,dance,16/10/2014,12/09/2014,failed,200,5000,34,2014,Q3,NA
3960,Party Bus Logan - Cache Valley's 1st Limousine Bus,spaces,dance,07/08/2018,23/07/2018,failed,1931,7000,15,2018,Q1,NA
1762,PartyNexxtDoor,residencies,dance,26/05/2015,01/05/2015,failed,0,1097,25,2015,Q2,NA
3105,Passages - An Aerial Dance Performance by Fly-by-Night Dance,dance,dance,09/12/2012,09/11/2012,successful,3432,3000,30,2012,Q2,0.144
2356,Passages To...,dance,dance,13/04/2014,19/03/2014,successful,2955,2500,25,2014,Q2,0.182
3251,Passion 2015 Edinburgh Festival,performances,dance,10/04/2015,17/02/2015,successful,7355.47,7295.65,52,2015,Q4,0.008199406
1232,Passport to Dance,performances,dance,03/09/2017,20/07/2017,failed,56,800,45,2017,Q3,NA
1433,PatchWork Women Performance,dance,dance,17/08/2010,13/06/2010,failed,10,2250,65,2010,Q4,NA
1198,PAULA HUNTER HOME ALONE 3,dance,dance,18/12/2010,18/11/2010,successful,2590,2000,30,2010,Q2,0.295
464,Paula Roberts - Celtic Fire (Irish/Flamenco Dancer),performances,dance,09/06/2017,10/05/2017,failed,141.39,6884.3,30,2017,Q2,NA
2403,Paved with Good Intentions,dance,dance,07/08/2012,24/07/2012,failed,1028,2300,14,2012,Q1,NA
2829,Pavel Rotaru wants to teach YOU ballet!,workshops,dance,01/07/2014,04/06/2014,successful,5600,5000,27,2014,Q2,0.12
2937,"Pay my rent, dance a jig!",dance,dance,09/08/2014,10/07/2014,failed,0.93,2796.42,30,2014,Q2,NA
2097,PDG Dances in Taiwan,residencies,dance,05/08/2017,06/07/2017,successful,6000,5000,30,2017,Q2,0.2
407,PDX Dance Collective takes their show on the road!,dance,dance,08/05/2013,28/03/2013,successful,820,800,41,2013,Q3,0.025
1251,peach,dance,dance,31/07/2012,10/07/2012,successful,525,350,21,2012,Q2,0.5
367,Peach State Project - Newcomer Dance Team Debut,dance,dance,16/02/2013,05/02/2013,failed,40,1500,11,2013,Q1,NA
3738,Pedestrian Wanderlust Anniversary Gala,performances,dance,11/02/2018,12/01/2018,successful,2475,2000,30,2018,Q2,0.2375
1630,"Peninsula Ballet Theatre's premier of the ballet, Dracula",dance,dance,07/11/2012,08/10/2012,failed,565,5000,30,2012,Q2,NA
1175,Peoria Ballet Nutcracker Backdrop,dance,dance,03/11/2012,11/10/2012,successful,4080,3780,23,2012,Q2,0.079365079
2516,Perceptions - What do YOU see?,dance,dance,01/02/2014,02/01/2014,successful,5010,4000,30,2014,Q2,0.2525
3599,Performa/Dance presents IGNITE: Three Works,dance,dance,09/06/2014,29/04/2014,successful,4103,4000,41,2014,Q3,0.02575
2812,Performa/Dance presents MIDSUMMER OFFERINGS: Three Dances,performances,dance,30/05/2017,25/04/2017,successful,4042,4000,35,2017,Q3,0.0105
3300,Performance Mix Festival 2011,dance,dance,10/02/2011,12/11/2010,successful,1005,1000,90,2010,Q4,0.005
158,Performer's Health App,dance,dance,09/02/2016,10/01/2016,failed,290.09,725.22,30,2016,Q2,NA
910,Performing Arts Project - Bringing art to underserved youth!,dance,dance,23/04/2011,05/04/2011,successful,2100,2000,18,2011,Q2,0.05
106,Performing for Unity: first step World Championship,performances,dance,23/03/2015,05/03/2015,failed,159.17,4462.63,18,2015,Q2,NA
3805,Performing Valeska (Part One),performances,dance,20/05/2018,20/04/2018,successful,2661,2500,30,2018,Q2,0.0644
1531,Perro y Sangre at Teatro Latea,dance,dance,12/08/2014,13/06/2014,successful,8267,7000,60,2014,Q4,0.181
978,PERSEPHONE: an honest mental health performance @ MNFringe,performances,dance,13/08/2017,16/07/2017,successful,1426,1000,28,2017,Q2,0.426
3836,PERSON A,performances,dance,31/03/2018,01/03/2018,successful,11009.20125,10152.16974,30,2018,Q2,0.084418556
490,PERSONA: Madison,dance,dance,30/04/2014,09/04/2014,successful,1615,1500,21,2014,Q2,0.076666667
484,Peter & Co. SF Presents at The Garage,residencies,dance,02/08/2014,03/07/2014,failed,805,4500,30,2014,Q2,NA
3438,petite bash,dance,dance,09/12/2012,12/11/2012,successful,1525,1250,27,2012,Q2,0.22
355,Petite Fleur,dance,dance,22/11/2013,25/10/2013,successful,2021,2000,28,2013,Q2,0.0105
2024,Phalanx,dance,dance,14/04/2012,15/03/2012,failed,100,2000,30,2012,Q2,NA
3557,Phantasmaglorian Discourse,performances,dance,15/08/2014,28/07/2014,failed,181,2000,18,2014,Q2,NA
