"","name","sub_category","main_category","deadline","launched","status","pledged_usd","goal_usd","duration","year","quarter","profit"
"15501","Minimalist Premium Leather Card Holder with RFID Blocking","accessories","fashion",2016-06-15,2016-05-16,"failed",238.6,2857.43,30,"2016","Q2",NA
"15502","Spoonspirational Awareness Advocates","apparel","fashion",2017-05-20,2017-04-20,"failed",55,100,30,"2017","Q2",NA
"15503","LEGO Wear & Play T-shirt by LeBrick!","apparel","fashion",2017-11-10,2017-10-11,"canceled",349,10000,30,"2017","Q2",NA
"15504","Caleb Clothing Company.  Destination: Magic Tradeshow!","fashion","fashion",2010-07-12,2010-05-29,"failed",0,5500,44,"2010","Q3",NA
"15505","Wilds Wood: distinctive watches for distinctive people","jewelry","fashion",2017-12-08,2017-10-29,"failed",1639.48,7517.1,40,"2017","Q3",NA
"15506","JE SUIS CHARLIE - The pen is mightier than the sword","apparel","fashion",2015-02-05,2015-01-15,"failed",19,2500,21,"2015","Q2",NA
"15507","Tru Sku","apparel","fashion",2016-05-28,2016-05-13,"failed",74,2000,15,"2016","Q1",NA
"15508","The Hi-Def Baseball Cap","fashion","fashion",2014-10-19,2014-09-11,"failed",57,45000,38,"2014","Q3",NA
"15509","Slapstick's T-Shirt Club For Men Funny Monthly T-Shirt Club","apparel","fashion",2016-01-01,2015-11-02,"failed",0,5000,60,"2015","Q4",NA
"15510","First Chair Clothing: Screen Printed Bicycle Hats","fashion","fashion",2014-04-25,2014-04-04,"successful",1773,1111,21,"2014","Q2",0.595859585958596
"15511","Kame Leather - European Bridle Belts","fashion","fashion",2012-11-18,2012-10-19,"failed",150,1200,30,"2012","Q2",NA
"15512","Monzo Fashion (Canceled)","fashion","fashion",2015-04-19,2015-02-18,"canceled",0,5000,60,"2015","Q4",NA
"15513","Temporary Jewelry and Jewelry Album by Air + Ash","jewelry","fashion",2014-11-30,2014-11-03,"successful",7173,7000,27,"2014","Q2",0.0247142857142857
"15514","Ricardo Royal","apparel","fashion",2015-05-03,2015-04-07,"failed",9,15000,26,"2015","Q2",NA
"15515","Camo Gel - Blemish Camouflage Gel","fashion","fashion",2017-11-29,2017-11-14,"failed",89.37,11360.19,15,"2017","Q1",NA
"15516","Lizz Basinger Designs. Spring Summer 2013 Collection.","fashion","fashion",2012-11-10,2012-10-11,"failed",2962,7500,30,"2012","Q2",NA
"15517","ArchiTies: a monumental fashion statement.","fashion","fashion",2013-04-29,2013-04-18,"successful",8150,7500,11,"2013","Q1",0.0866666666666667
"15518","The Original SHORTTI SHORTTISSIMO","fashion","fashion",2013-10-19,2013-09-09,"failed",1956,20000,40,"2013","Q3",NA
"15519","Luxurious Creative Handbags","fashion","fashion",2015-08-20,2015-07-06,"successful",7668.79,7332.62,45,"2015","Q3",0.0458458231846189
"15520","Screaming Frapuccino Enamel Pin","fashion","fashion",2017-02-15,2017-01-16,"failed",224,500,30,"2017","Q2",NA
"15521","Custom Shirts","ready-to-wear","fashion",2017-09-17,2017-08-28,"failed",0,1700,20,"2017","Q2",NA
"15522","saint rafael italian new brand","fashion","fashion",2016-02-14,2016-01-15,"failed",0,1109594.67,30,"2016","Q2",NA
"15523","South Side Collection","apparel","fashion",2017-04-12,2017-03-13,"failed",0,5000,30,"2017","Q2",NA
"15524","ALPHA BRAND UNLIMITED","apparel","fashion",2015-06-16,2015-04-27,"failed",0,8000,50,"2015","Q4",NA
"15525","&SONS artisan clothes built for pioneers - created in the UK","apparel","fashion",2016-09-04,2016-07-21,"successful",69460.18,66628.47,45,"2016","Q3",0.0425000003752149
"15526","Navas Lab — Bamboo Hoody","apparel","fashion",2017-08-17,2017-07-18,"canceled",11076.87,23702.3,30,"2017","Q2",NA
"15527","Zombie Survival Grounds","fashion","fashion",2013-09-19,2013-08-20,"failed",100,1500,30,"2013","Q2",NA
"15528","Babylon Road : Backpack Removable Pocket","accessories","fashion",2015-03-23,2015-01-22,"successful",21107,20000,60,"2015","Q4",0.05535
"15529","Rebel Life Society Clothing","fashion","fashion",2012-07-18,2012-06-28,"failed",175,2800,20,"2012","Q2",NA
"15530","Kaleidodye","apparel","fashion",2015-08-07,2015-07-08,"failed",10,1500,30,"2015","Q2",NA
"15531","Palm Clothing Co.","apparel","fashion",2015-03-05,2015-02-03,"failed",12.54,1584.52,30,"2015","Q2",NA
"15532","Chichi Tycoon: Premium Streetwear Label","fashion","fashion",2014-07-30,2014-06-30,"failed",54,25000,30,"2014","Q2",NA
"15533","Puppy Bow Tie (Canceled)","pet fashion","fashion",2015-05-28,2015-04-28,"canceled",0,55,30,"2015","Q2",NA
"15534","Atomic Era Clothing - T-Shirts for Nerds, Dorks, and Geeks","fashion","fashion",2012-07-21,2012-06-20,"failed",0,1500,31,"2012","Q3",NA
"15535","TNJ Graphics Apparel","fashion","fashion",2013-07-15,2013-06-05,"failed",0,20000,40,"2013","Q3",NA
"15536","YouLuckyPunk.com ""Whats your LUCKY color?""","apparel","fashion",2015-02-10,2015-01-11,"failed",0,2500,30,"2015","Q2",NA
"15537","Meow Duds","pet fashion","fashion",2014-08-26,2014-07-27,"failed",0,92.13,30,"2014","Q2",NA
"15538","Wear a piece of creative love in a Wrist Candy Bracelet.","accessories","fashion",2016-07-06,2016-06-06,"failed",141,8500,30,"2016","Q2",NA
"15539","R. Riveter | American Handmade Challenge","accessories","fashion",2014-10-18,2014-09-12,"successful",42082,35000,36,"2014","Q3",0.202342857142857
"15540","Birdie Sanders T-Shirt","apparel","fashion",2016-05-06,2016-04-06,"failed",239,2000,30,"2016","Q2",NA
"15541","UnderRepped Clothing","fashion","fashion",2013-02-28,2013-01-29,"successful",10162,6000,30,"2013","Q2",0.693666666666667
"15542","Def Shinobi Clothing Co.","fashion","fashion",2013-08-31,2013-08-01,"failed",10,2000,30,"2013","Q2",NA
"15543","Introducing: First Ever Customizable American Vintage Denim","apparel","fashion",2016-05-01,2016-03-31,"failed",924,8000,31,"2016","Q3",NA
